FlowCell Text Data File: yeast-undigested.csv
Software Version: 1.44A
Date: 2018-01-23
Time: 13:40:49
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 2,5
w2t:  x 10^0
Number of Tubes: 2
Sample Volume:  ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.8 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 40
Distance/fraction: 2.12 mm
Volume/fraction: 0.302 ml
Data Samples/mm: 15.04

*** SCANNING SETTINGS ***
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 266 ms
PD1 (260 nm) On Time: 56 ms
Sample A Zero: 869632
Source A Zero: 316282.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
686255, 315783, 17.71, 0.481327, , 
685364, 315690, 17.77, 0.483383, , 
684939, 315853, 17.84, 0.485708, , 
686291, 315736, 17.91, 0.480915, , 
686455, 315828, 17.97, 0.481023, , 
687107, 315794, 18.04, 0.478860, , 
689004, 315732, 18.10, 0.472817, , 
688710, 315780, 18.17, 0.474001, , 
689615, 315724, 18.24, 0.470951, , 
691803, 315819, 18.30, 0.465085, , 
690867, 315671, 18.37, 0.466896, , 
689747, 315749, 18.44, 0.470722, , 
692116, 315693, 18.50, 0.463343, , 
689841, 315798, 18.57, 0.470760, , 
689484, 315788, 18.63, 0.471755, , 
691001, 315784, 18.70, 0.467232, , 
688089, 315743, 18.77, 0.475607, , 
689327, 315704, 18.83, 0.471676, , 
691032, 315767, 18.90, 0.467030, , 
689849, 315777, 18.97, 0.470601, , 
691019, 315591, 19.03, 0.465928, , 
692574, 315628, 19.10, 0.461568, 9, 0.302
690243, 315594, 19.16, 0.468246, , 
691951, 315795, 19.23, 0.464492, , 
692501, 315680, 19.30, 0.462121, , 
690477, 315775, 19.36, 0.468726, , 
692577, 315812, 19.43, 0.462752, , 
690980, 315803, 19.49, 0.467417, , 
689757, 315797, 19.56, 0.471003, , 
690358, 315825, 19.62, 0.469402, , 
688685, 315868, 19.69, 0.474645, , 
687546, 315807, 19.76, 0.477637, , 
688230, 315764, 19.82, 0.475324, , 
687138, 315812, 19.89, 0.478884, , 
688552, 315800, 19.96, 0.474600, , 
690060, 315748, 20.02, 0.469787, , 
686251, 315662, 20.09, 0.480555, , 
688202, 315669, 20.16, 0.474792, , 
688972, 315691, 20.22, 0.472646, , 
685756, 315724, 20.29, 0.482433, , 
688033, 315778, 20.35, 0.476000, , 
685721, 315844, 20.42, 0.483315, , 
682545, 315820, 20.49, 0.492658, , 
682668, 315901, 20.55, 0.492815, , 
679238, 315815, 20.62, 0.502564, , 
675428, 315812, 20.69, 0.514054, , 
676389, 315805, 20.75, 0.511099, , 
672716, 315748, 20.82, 0.521871, , 
671420, 315894, 20.88, 0.526763, , 
672078, 315795, 20.95, 0.524117, , 
669066, 315706, 21.02, 0.532731, , 
666247, 315684, 21.08, 0.541228, , 
666864, 315686, 21.15, 0.539347, , 
663711, 315817, 21.22, 0.549893, 10, 0.302
659824, 315828, 21.28, 0.561982, , 
661838, 316060, 21.35, 0.557249, , 
656747, 315874, 21.41, 0.571844, , 
654808, 315759, 21.48, 0.577149, , 
655233, 315787, 21.55, 0.576003, , 
649899, 315773, 21.61, 0.592637, , 
648751, 315903, 21.68, 0.597097, , 
649079, 315949, 21.74, 0.596360, , 
646074, 315817, 21.81, 0.605000, , 
645625, 315997, 21.88, 0.607588, , 
645987, 315973, 21.94, 0.606286, , 
643154, 316010, 22.01, 0.615519, , 
642742, 316030, 22.07, 0.616959, , 
643007, 315985, 22.14, 0.615824, , 
640182, 315955, 22.21, 0.624639, , 
642116, 315996, 22.27, 0.618733, , 
641261, 315916, 22.34, 0.620941, , 
638929, 315945, 22.41, 0.628583, , 
639934, 315864, 22.47, 0.624843, , 
638323, 315789, 22.54, 0.629514, , 
637339, 315754, 22.60, 0.632444, , 
637773, 315633, 22.67, 0.630267, , 
637822, 315757, 22.74, 0.630913, , 
639463, 315690, 22.80, 0.625222, , 
642525, 315764, 22.87, 0.615927, , 
639595, 316002, 22.94, 0.626821, , 
643634, 315840, 23.00, 0.612891, , 
646489, 315876, 23.07, 0.604068, , 
642502, 315830, 23.13, 0.616428, , 
647134, 315732, 23.20, 0.601095, , 
648518, 315894, 23.27, 0.597773, , 
645663, 315939, 23.33, 0.607092, 11, 0.302
651065, 315903, 23.40, 0.589811, , 
650345, 315769, 23.47, 0.591207, , 
647425, 315695, 23.53, 0.599935, , 
651784, 315686, 23.59, 0.586147, , 
650378, 315741, 23.66, 0.590922, , 
650742, 315741, 23.73, 0.589777, , 
657766, 315782, 23.79, 0.568076, , 
656905, 315842, 23.86, 0.571145, , 
656737, 315924, 23.93, 0.572199, , 
663245, 315883, 23.99, 0.551757, , 
663489, 316040, 24.06, 0.552021, , 
660595, 316043, 24.13, 0.560985, , 
665535, 315889, 24.19, 0.544744, , 
666081, 315786, 24.26, 0.542398, , 
666191, 315886, 24.32, 0.542708, , 
669919, 315890, 24.39, 0.531316, , 
669043, 315889, 24.46, 0.533987, , 
667760, 316023, 24.52, 0.538782, , 
669716, 315976, 24.59, 0.532493, , 
